#weight	occ	cum	dcum	dCDF
<blockquote class='information'>	NA	0	14478	      1
<font color='#006600'><b>Information: </b>Input files<br>	NA	0	14478	      1
-26.9	36	850	13664	0.943777
-26.8	34	884	13628	0.94129
-26.7	28	912	13594	0.938942
-26.6	27	939	13566	0.937008
-26.5	37	976	13539	0.935143
-26.4	34	1010	13502	0.932587
-26.3	32	1042	13468	0.930239
-26.2	36	1078	13436	0.928029
-26.1	46	1124	13400	0.925542
-26	37	1161	13354	0.922365
-25.9	30	1191	13317	0.919809
-25.8	25	1216	13287	0.917737
-25.7	35	1251	13262	0.91601
-25.6	37	1288	13227	0.913593
-25.5	30	1318	13190	0.911037
-25.4	32	1350	13160	0.908965
-25.3	36	1386	13128	0.906755
-25.2	32	1418	13092	0.904269
-25.1	48	1466	13060	0.902058
-25	51	1517	13012	0.898743
-24.9	38	1555	12961	0.89522
-24.8	51	1606	12923	0.892596
-24.7	60	1666	12872	0.889073
-24.6	61	1727	12812	0.884929
-24.5	56	1783	12751	0.880716
-24.4	45	1828	12695	0.876848
-24.3	65	1893	12650	0.873739
-24.2	47	1940	12585	0.86925
-24.1	50	1990	12538	0.866004
-24	42	2032	12488	0.86255
-23.9	67	2099	12446	0.859649
-23.8	45	2144	12379	0.855021
-23.7	60	2204	12334	0.851913
-23.6	60	2264	12274	0.847769
-23.5	50	2314	12214	0.843625
-23.4	63	2377	12164	0.840171
-23.3	60	2437	12101	0.83582
-23.2	51	2488	12041	0.831676
-23.1	58	2546	11990	0.828153
-23	61	2607	11932	0.824147
-22.9	63	2670	11871	0.819934
-22.8	70	2740	11808	0.815582
-22.7	65	2805	11738	0.810747
-22.6	63	2868	11673	0.806258
-22.5	72	2940	11610	0.801906
-22.4	71	3011	11538	0.796933
-22.3	84	3095	11467	0.792029
-22.2	85	3180	11383	0.786227
-22.1	68	3248	11298	0.780356
-22	74	3322	11230	0.77566
-21.9	67	3389	11156	0.770548
-21.8	67	3456	11089	0.765921
-21.7	82	3538	11022	0.761293
-21.6	55	3593	10940	0.755629
-21.5	85	3678	10885	0.75183
-21.4	61	3739	10800	0.745959
-21.3	80	3819	10739	0.741746
-21.2	63	3882	10659	0.73622
-21.1	78	3960	10596	0.731869
-21	64	4024	10518	0.726482
-20.9	79	4103	10454	0.722061
-20.8	83	4186	10375	0.716605
-20.7	78	4264	10292	0.710872
-20.6	85	4349	10214	0.705484
-20.5	102	4451	10129	0.699613
-20.4	85	4536	10027	0.692568
-20.3	73	4609	9942	0.686697
-20.2	91	4700	9869	0.681655
-20.1	94	4794	9778	0.67537
-20	92	4886	9684	0.668877
-19.9	102	4988	9592	0.662522
-19.8	91	5079	9490	0.655477
-19.7	85	5164	9399	0.649192
-19.6	97	5261	9314	0.643321
-19.5	91	5352	9217	0.636621
-19.4	99	5451	9126	0.630336
-19.3	89	5540	9027	0.623498
-19.2	114	5654	8938	0.61735
-19.1	76	5730	8824	0.609476
-19	91	5821	8748	0.604227
-18.9	81	5902	8657	0.597942
-18.8	84	5986	8576	0.592347
-18.7	80	6066	8492	0.586545
-18.6	89	6155	8412	0.581019
-18.5	83	6238	8323	0.574872
-18.4	108	6346	8240	0.569139
-18.3	97	6443	8132	0.56168
-18.2	116	6559	8035	0.55498
-18.1	104	6663	7919	0.546968
-18	93	6756	7815	0.539785
-17.9	97	6853	7722	0.533361
-17.8	82	6935	7625	0.526661
-17.7	86	7021	7543	0.520997
-17.6	91	7112	7457	0.515057
-17.5	76	7188	7366	0.508772
-17.4	119	7307	7290	0.503523
-17.3	91	7398	7171	0.495303
-17.2	104	7502	7080	0.489018
-17.1	77	7579	6976	0.481835
